invoiceno,stockcode,description,quantity,invoicedate,unitprice,customerid,country,total_price,year,month,day,weekday,hour
537225,M,Manual,1,2010-12-05 16:41:00,1.0,12748.0,United Kingdom,1.0,2010,12,5,6,16
537246,POST,POSTAGE,1,2010-12-06 10:27:00,28.0,12808.0,Portugal,28.0,2010,12,6,0,10
537250,POST,POSTAGE,1,2010-12-06 10:43:00,18.0,12708.0,Germany,18.0,2010,12,6,0,10
537368,C2,CARRIAGE,1,2010-12-06 12:40:00,50.0,14911.0,EIRE,50.0,2010,12,6,0,12
537378,C2,CARRIAGE,1,2010-12-06 13:06:00,50.0,14911.0,EIRE,50.0,2010,12,6,0,13
537396,M,Manual,1,2010-12-06 14:08:00,35.0,17223.0,United Kingdom,35.0,2010,12,6,0,14
537463,POST,POSTAGE,4,2010-12-07 10:08:00,18.0,12681.0,France,72.0,2010,12,7,1,10
537468,POST,POSTAGE,3,2010-12-07 10:36:00,18.0,12567.0,France,54.0,2010,12,7,1,10
537594,POST,POSTAGE,5,2010-12-07 12:28:00,18.0,12647.0,Germany,90.0,2010,12,7,1,12
537693,POST,POSTAGE,1,2010-12-08 10:45:00,18.0,12441.0,France,18.0,2010,12,8,2,10
537818,POST,POSTAGE,6,2010-12-08 13:53:00,28.0,12766.0,Portugal,168.0,2010,12,8,2,13
537892,POST,POSTAGE,1,2010-12-09 10:13:00,18.0,12481.0,Germany,18.0,2010,12,9,3,10
537894,POST,POSTAGE,2,2010-12-09 10:16:00,18.0,12621.0,Germany,36.0,2010,12,9,3,10
537897,POST,POSTAGE,1,2010-12-09 10:37:00,18.0,12683.0,France,18.0,2010,12,9,3,10
537915,POST,POSTAGE,1,2010-12-09 10:55:00,28.0,12797.0,Portugal,28.0,2010,12,9,3,10
537963,C2,CARRIAGE,1,2010-12-09 11:30:00,50.0,13369.0,United Kingdom,50.0,2010,12,9,3,11
537967,POST,POSTAGE,1,2010-12-09 11:31:00,18.0,12494.0,France,18.0,2010,12,9,3,11
537995,POST,POSTAGE,2,2010-12-09 11:39:00,18.0,12712.0,Germany,36.0,2010,12,9,3,11
538002,C2,CARRIAGE,1,2010-12-09 11:48:00,50.0,14932.0,Channel Islands,50.0,2010,12,9,3,11
538008,POST,POSTAGE,5,2010-12-09 12:17:00,18.0,12683.0,France,90.0,2010,12,9,3,12
538093,POST,POSTAGE,5,2010-12-09 14:49:00,18.0,12682.0,France,90.0,2010,12,9,3,14
538147,M,Manual,1,2010-12-09 16:11:00,15.0,13090.0,United Kingdom,15.0,2010,12,9,3,16
538311,POST,POSTAGE,2,2010-12-10 13:48:00,28.0,12785.0,Portugal,56.0,2010,12,10,4,13
538525,POST,POSTAGE,5,2010-12-13 09:39:00,28.0,12540.0,Spain,140.0,2010,12,13,0,9
538685,POST,POSTAGE,1,2010-12-14 09:39:00,15.0,15694.0,United Kingdom,15.0,2010,12,14,1,9
538807,M,Manual,1,2010-12-14 12:06:00,20.0,17194.0,United Kingdom,20.0,2010,12,14,1,12
539092,35001W,HAND OPEN SHAPE DECO.WHITE,6,2010-12-16 10:08:00,2.0,15482.0,United Kingdom,12.0,2010,12,16,3,10
539092,35001G,HAND OPEN SHAPE GOLD,6,2010-12-16 10:08:00,2.0,15482.0,United Kingdom,12.0,2010,12,16,3,10
539263,22580,ADVENT CALENDAR GINGHAM SACK,4,2010-12-16 14:36:00,0.0,16560.0,United Kingdom,0.0,2010,12,16,3,14
539317,M,Manual,2,2010-12-16 19:04:00,3.0,17392.0,United Kingdom,6.0,2010,12,16,3,19
539318,POST,POSTAGE,6,2010-12-16 19:09:00,40.0,12348.0,Finland,240.0,2010,12,16,3,19
539327,POST,POSTAGE,1,2010-12-17 09:24:00,18.0,12600.0,Germany,18.0,2010,12,17,4,9
539330,POST,POSTAGE,3,2010-12-17 09:38:00,40.0,12370.0,Austria,120.0,2010,12,17,4,9
539353,POST,POSTAGE,3,2010-12-17 11:30:00,28.0,12782.0,Portugal,84.0,2010,12,17,4,11
539391,POST,POSTAGE,2,2010-12-17 11:51:00,15.0,12417.0,Belgium,30.0,2010,12,17,4,11
539403,POST,POSTAGE,2,2010-12-17 12:21:00,18.0,12647.0,Germany,36.0,2010,12,17,4,12
539405,POST,POSTAGE,6,2010-12-17 12:38:00,18.0,12621.0,Germany,108.0,2010,12,17,4,12
539407,POST,POSTAGE,1,2010-12-17 12:56:00,18.0,12726.0,France,18.0,2010,12,17,4,12
539408,POST,POSTAGE,3,2010-12-17 12:56:00,18.0,12720.0,Germany,54.0,2010,12,17,4,12
539421,22929,SCHOOL DESK AND CHAIR ,1,2010-12-17 14:21:00,65.0,14016.0,EIRE,65.0,2010,12,17,4,14
539421,C2,CARRIAGE,1,2010-12-17 14:21:00,50.0,14016.0,EIRE,50.0,2010,12,17,4,14
539435,POST,POSTAGE,1,2010-12-17 14:46:00,18.0,12691.0,France,18.0,2010,12,17,4,14
539447,POST,POSTAGE,3,2010-12-17 16:00:00,18.0,12395.0,Belgium,54.0,2010,12,17,4,16
539466,POST,POSTAGE,4,2010-12-19 12:46:00,18.0,12668.0,Germany,72.0,2010,12,19,6,12
539473,C2,CARRIAGE,1,2010-12-19 14:24:00,50.0,14911.0,EIRE,50.0,2010,12,19,6,14
539491,POST,POSTAGE,1,2010-12-20 10:09:00,15.0,14646.0,Netherlands,15.0,2010,12,20,0,10
539551,POST,POSTAGE,1,2010-12-20 11:38:00,18.0,12721.0,France,18.0,2010,12,20,0,11
539607,POST,POSTAGE,5,2010-12-20 14:10:00,18.0,12681.0,France,90.0,2010,12,20,0,14
539636,POST,POSTAGE,6,2010-12-20 15:15:00,18.0,12481.0,Germany,108.0,2010,12,20,0,15
539676,POST,POSTAGE,3,2010-12-21 10:54:00,15.0,12423.0,Belgium,45.0,2010,12,21,1,10
539727,POST,POSTAGE,1,2010-12-21 14:26:00,18.0,12678.0,France,18.0,2010,12,21,1,14
539752,POST,POSTAGE,3,2010-12-21 15:43:00,35.0,12515.0,Italy,105.0,2010,12,21,1,15
539840,POST,POSTAGE,3,2010-12-22 14:28:00,15.0,12383.0,Belgium,45.0,2010,12,22,2,14
539946,POST,POSTAGE,1,2010-12-23 11:46:00,18.0,13817.0,Germany,18.0,2010,12,23,3,11
539957,POST,POSTAGE,6,2010-12-23 12:58:00,18.0,12585.0,Germany,108.0,2010,12,23,3,12
539984,C2,CARRIAGE,1,2010-12-23 14:58:00,50.0,14911.0,EIRE,50.0,2010,12,23,3,14
540040,POST,POSTAGE,5,2011-01-04 14:20:00,40.0,12483.0,Sweden,200.0,2011,1,4,1,14
540178,POST,POSTAGE,3,2011-01-05 12:42:00,18.0,12681.0,France,54.0,2011,1,5,2,12
540239,POST,POSTAGE,4,2011-01-05 14:48:00,18.0,12682.0,France,72.0,2011,1,5,2,14
540351,POST,POSTAGE,2,2011-01-06 14:26:00,18.0,12735.0,France,36.0,2011,1,6,3,14
540365,POST,POSTAGE,3,2011-01-06 16:12:00,18.0,12413.0,France,54.0,2011,1,6,3,16
540404,22929,SCHOOL DESK AND CHAIR ,2,2011-01-07 09:40:00,65.0,12947.0,United Kingdom,130.0,2011,1,7,4,9
540410,POST,POSTAGE,3,2011-01-07 10:04:00,18.0,12530.0,Germany,54.0,2011,1,7,4,10
540414,POST,POSTAGE,3,2011-01-07 10:32:00,18.0,12481.0,Germany,54.0,2011,1,7,4,10
540455,POST,POSTAGE,3,2011-01-07 12:07:00,18.0,12583.0,France,54.0,2011,1,7,4,12
540463,POST,POSTAGE,2,2011-01-07 13:13:00,18.0,12489.0,France,36.0,2011,1,7,4,13
540469,POST,POSTAGE,4,2011-01-07 14:04:00,28.0,12484.0,Spain,112.0,2011,1,7,4,14
540480,POST,POSTAGE,4,2011-01-07 15:27:00,18.0,12480.0,Germany,72.0,2011,1,7,4,15
540519,POST,POSTAGE,2,2011-01-09 12:12:00,28.0,12793.0,Portugal,56.0,2011,1,9,6,12
540546,POST,POSTAGE,3,2011-01-09 15:56:00,28.0,12766.0,Portugal,84.0,2011,1,9,6,15
540547,C2,CARRIAGE,1,2011-01-09 16:07:00,50.0,14911.0,EIRE,50.0,2011,1,9,6,16
540553,POST,POSTAGE,1,2011-01-10 09:48:00,18.0,12500.0,Germany,18.0,2011,1,10,0,9
540562,POST,POSTAGE,3,2011-01-10 10:35:00,18.0,12524.0,Germany,54.0,2011,1,10,0,10
540688,POST,POSTAGE,5,2011-01-11 07:57:00,18.0,12736.0,France,90.0,2011,1,11,1,7
540769,POST,POSTAGE,1,2011-01-11 10:38:00,18.0,12601.0,Germany,18.0,2011,1,11,1,10
540789,POST,POSTAGE,2,2011-01-11 11:48:00,18.0,12643.0,France,36.0,2011,1,11,1,11
540801,POST,POSTAGE,6,2011-01-11 12:25:00,28.0,12540.0,Spain,168.0,2011,1,11,1,12
540824,POST,POSTAGE,2,2011-01-11 13:31:00,18.0,12728.0,France,36.0,2011,1,11,1,13
540835,POST,POSTAGE,1,2011-01-11 15:00:00,18.0,12724.0,France,18.0,2011,1,11,1,15
540900,POST,POSTAGE,2,2011-01-12 11:46:00,18.0,12712.0,Germany,36.0,2011,1,12,2,11
540971,POST,POSTAGE,4,2011-01-12 14:10:00,15.0,12383.0,Belgium,60.0,2011,1,12,2,14
540972,POST,POSTAGE,3,2011-01-12 14:13:00,18.0,12437.0,France,54.0,2011,1,12,2,14
541093,POST,POSTAGE,5,2011-01-13 13:21:00,18.0,12471.0,Germany,90.0,2011,1,13,3,13
541109,22168,ORGANISER WOOD ANTIQUE WHITE ,1,2011-01-13 15:10:00,0.0,15107.0,United Kingdom,0.0,2011,1,13,3,15
541120,POST,POSTAGE,5,2011-01-14 09:13:00,18.0,12490.0,France,90.0,2011,1,14,4,9
541122,POST,POSTAGE,2,2011-01-14 09:23:00,18.0,12708.0,Germany,36.0,2011,1,14,4,9
541125,POST,POSTAGE,1,2011-01-14 10:06:00,18.0,12474.0,Germany,18.0,2011,1,14,4,10
541138,POST,POSTAGE,6,2011-01-14 10:42:00,18.0,12553.0,France,108.0,2011,1,14,4,10
541224,POST,POSTAGE,1,2011-01-14 14:45:00,18.0,12474.0,Germany,18.0,2011,1,14,4,14
541251,22830,UTILTY CABINET WITH HOOKS,2,2011-01-16 13:25:00,10.0,15046.0,United Kingdom,20.0,2011,1,16,6,13
541405,POST,POSTAGE,5,2011-01-17 15:17:00,18.0,12683.0,France,90.0,2011,1,17,0,15
541434,C2,CARRIAGE,1,2011-01-18 10:22:00,50.0,14911.0,EIRE,50.0,2011,1,18,1,10
541480,POST,POSTAGE,1,2011-01-18 12:05:00,18.0,12527.0,Germany,18.0,2011,1,18,1,12
541491,POST,POSTAGE,3,2011-01-18 14:04:00,28.0,12510.0,Spain,84.0,2011,1,18,1,14
541505,BANK CHARGES,Bank Charges,1,2011-01-18 15:58:00,15.0,15939.0,United Kingdom,15.0,2011,1,18,1,15
541517,POST,POSTAGE,1,2011-01-19 08:34:00,18.0,12665.0,Germany,18.0,2011,1,19,2,8
541567,POST,POSTAGE,3,2011-01-19 11:51:00,18.0,12681.0,France,54.0,2011,1,19,2,11
541569,POST,POSTAGE,3,2011-01-19 12:14:00,40.0,13520.0,Switzerland,120.0,2011,1,19,2,12
541631,POST,POSTAGE,6,2011-01-20 10:48:00,18.0,12637.0,France,108.0,2011,1,20,3,10
541675,POST,POSTAGE,2,2011-01-20 13:49:00,15.0,12402.0,Belgium,30.0,2011,1,20,3,13
541703,POST,POSTAGE,2,2011-01-21 09:52:00,28.0,12594.0,Italy,56.0,2011,1,21,4,9
541756,POST,POSTAGE,2,2011-01-21 11:42:00,40.0,12664.0,Finland,80.0,2011,1,21,4,11
541808,M,Manual,1,2011-01-21 14:51:00,10.0,16210.0,United Kingdom,10.0,2011,1,21,4,14
541843,22929,SCHOOL DESK AND CHAIR ,1,2011-01-23 12:08:00,65.0,13659.0,United Kingdom,65.0,2011,1,23,6,12
541857,POST,POSTAGE,6,2011-01-23 15:17:00,18.0,12727.0,France,108.0,2011,1,23,6,15
541877,POST,POSTAGE,2,2011-01-24 10:12:00,18.0,12559.0,Germany,36.0,2011,1,24,0,10
541962,POST,POSTAGE,2,2011-01-24 12:58:00,18.0,12693.0,Germany,36.0,2011,1,24,0,12
541979,C2,CARRIAGE,1,2011-01-24 14:54:00,50.0,14911.0,EIRE,50.0,2011,1,24,0,14
541980,POST,POSTAGE,1,2011-01-24 15:09:00,28.0,12421.0,Spain,28.0,2011,1,24,0,15
541983,M,Manual,1,2011-01-24 15:47:00,15.0,15797.0,United Kingdom,15.0,2011,1,24,0,15
541991,POST,POSTAGE,2,2011-01-25 09:11:00,15.0,12417.0,Belgium,30.0,2011,1,25,1,9
541998,POST,POSTAGE,1,2011-01-25 10:42:00,40.0,12348.0,Finland,40.0,2011,1,25,1,10
542080,POST,POSTAGE,5,2011-01-25 12:16:00,18.0,13815.0,Germany,90.0,2011,1,25,1,12
542128,POST,POSTAGE,2,2011-01-25 15:13:00,18.0,12609.0,Germany,36.0,2011,1,25,1,15
542132,POST,POSTAGE,2,2011-01-25 15:59:00,18.0,12691.0,France,36.0,2011,1,25,1,15
542147,POST,POSTAGE,4,2011-01-26 10:02:00,28.0,12782.0,Portugal,112.0,2011,1,26,2,10
542192,22929,SCHOOL DESK AND CHAIR ,1,2011-01-26 11:27:00,65.0,14049.0,United Kingdom,65.0,2011,1,26,2,11
542215,POST,POSTAGE,3,2011-01-26 12:27:00,18.0,12472.0,Germany,54.0,2011,1,26,2,12
542229,POST,POSTAGE,1,2011-01-26 13:38:00,18.0,12474.0,Germany,18.0,2011,1,26,2,13
542238,POST,POSTAGE,3,2011-01-26 14:35:00,28.0,12591.0,Italy,84.0,2011,1,26,2,14
542278,C2,CARRIAGE,1,2011-01-27 10:43:00,50.0,14911.0,EIRE,50.0,2011,1,27,3,10
542369,POST,POSTAGE,1,2011-01-27 13:08:00,18.0,12645.0,Germany,18.0,2011,1,27,3,13
542371,POST,POSTAGE,2,2011-01-27 13:29:00,18.0,12468.0,Germany,36.0,2011,1,27,3,13
542375,POST,POSTAGE,2,2011-01-27 13:42:00,18.0,12626.0,Germany,36.0,2011,1,27,3,13
542398,M,Manual,1,2011-01-27 15:36:00,4.0,13174.0,United Kingdom,4.0,2011,1,27,3,15
542425,POST,POSTAGE,2,2011-01-28 09:20:00,18.0,12574.0,France,36.0,2011,1,28,4,9
542433,POST,POSTAGE,2,2011-01-28 10:45:00,18.0,12726.0,France,36.0,2011,1,28,4,10
542535,POST,POSTAGE,3,2011-01-28 13:37:00,18.0,12735.0,France,54.0,2011,1,28,4,13
542586,POST,POSTAGE,2,2011-01-28 15:45:00,40.0,12377.0,Switzerland,80.0,2011,1,28,4,15
542621,POST,POSTAGE,3,2011-01-31 09:05:00,18.0,12528.0,Germany,54.0,2011,1,31,0,9
542626,POST,POSTAGE,2,2011-01-31 09:51:00,18.0,12720.0,Germany,36.0,2011,1,31,0,9
542648,POST,POSTAGE,5,2011-01-31 11:46:00,18.0,12476.0,Germany,90.0,2011,1,31,0,11
542720,POST,POSTAGE,1,2011-01-31 14:35:00,15.0,12778.0,Netherlands,15.0,2011,1,31,0,14
542735,POST,POSTAGE,3,2011-01-31 15:36:00,18.0,12681.0,France,54.0,2011,1,31,0,15
542782,POST,POSTAGE,2,2011-02-01 10:00:00,18.0,12712.0,Germany,36.0,2011,2,1,1,10
542887,POST,POSTAGE,1,2011-02-01 13:10:00,40.0,12373.0,Austria,40.0,2011,2,1,1,13
542894,POST,POSTAGE,2,2011-02-01 13:45:00,15.0,12775.0,Netherlands,30.0,2011,2,1,1,13
542904,POST,POSTAGE,3,2011-02-01 14:58:00,18.0,12682.0,France,54.0,2011,2,1,1,14
542905,POST,POSTAGE,1,2011-02-01 15:11:00,28.0,12540.0,Spain,28.0,2011,2,1,1,15
542911,POST,POSTAGE,1,2011-02-01 15:41:00,40.0,12676.0,Sweden,40.0,2011,2,1,1,15
542922,POST,POSTAGE,2,2011-02-02 09:06:00,18.0,12682.0,France,36.0,2011,2,2,2,9
543017,M,Manual,1,2011-02-02 14:17:00,15.0,13199.0,United Kingdom,15.0,2011,2,2,2,14
543027,POST,POSTAGE,1,2011-02-02 14:51:00,40.0,12414.0,Austria,40.0,2011,2,2,2,14
543030,POST,POSTAGE,1,2011-02-02 15:22:00,18.0,12437.0,France,18.0,2011,2,2,2,15
543037,POST,POSTAGE,1,2011-02-02 16:01:00,40.0,12350.0,Norway,40.0,2011,2,2,2,16
543048,POST,POSTAGE,3,2011-02-03 09:58:00,18.0,12600.0,Germany,54.0,2011,2,3,3,9
543055,POST,POSTAGE,4,2011-02-03 10:41:00,28.0,12502.0,Spain,112.0,2011,2,3,3,10
543056,POST,POSTAGE,6,2011-02-03 10:47:00,18.0,12471.0,Germany,108.0,2011,2,3,3,10
543117,POST,POSTAGE,3,2011-02-03 13:30:00,15.0,12464.0,Belgium,45.0,2011,2,3,3,13
543121,POST,POSTAGE,2,2011-02-03 13:58:00,18.0,12662.0,Germany,36.0,2011,2,3,3,13
543134,M,Manual,1,2011-02-03 15:28:00,15.0,15885.0,United Kingdom,15.0,2011,2,3,3,15
543178,C2,CARRIAGE,1,2011-02-04 10:31:00,50.0,14911.0,EIRE,50.0,2011,2,4,4,10
543180,POST,POSTAGE,4,2011-02-04 10:38:00,40.0,12410.0,Switzerland,160.0,2011,2,4,4,10
543188,POST,POSTAGE,6,2011-02-04 11:45:00,18.0,12567.0,France,108.0,2011,2,4,4,11
543197,22929,SCHOOL DESK AND CHAIR ,1,2011-02-04 12:36:00,65.0,12842.0,United Kingdom,65.0,2011,2,4,4,12
543459,POST,POSTAGE,2,2011-02-08 13:28:00,18.0,12599.0,France,36.0,2011,2,8,1,13
543484,POST,POSTAGE,3,2011-02-09 10:11:00,18.0,12721.0,France,54.0,2011,2,9,2,10
543492,POST,POSTAGE,1,2011-02-09 10:41:00,18.0,12720.0,Germany,18.0,2011,2,9,2,10
543537,POST,POSTAGE,1,2011-02-09 13:50:00,15.0,12401.0,Belgium,15.0,2011,2,9,2,13
543541,POST,POSTAGE,6,2011-02-09 14:44:00,28.0,12462.0,Spain,168.0,2011,2,9,2,14
543550,POST,POSTAGE,1,2011-02-10 09:43:00,18.0,12601.0,Germany,18.0,2011,2,10,3,9
543625,POST,POSTAGE,2,2011-02-10 15:38:00,18.0,12583.0,France,36.0,2011,2,10,3,15
543733,POST,POSTAGE,1,2011-02-11 12:16:00,15.0,12395.0,Belgium,15.0,2011,2,11,4,12
543822,POST,POSTAGE,3,2011-02-14 09:24:00,28.0,12507.0,Spain,84.0,2011,2,14,0,9
543833,POST,POSTAGE,1,2011-02-14 10:24:00,18.0,12476.0,Germany,18.0,2011,2,14,0,10
543900,POST,POSTAGE,3,2011-02-14 12:11:00,18.0,12621.0,Germany,54.0,2011,2,14,0,12
544069,POST,POSTAGE,2,2011-02-15 14:17:00,18.0,12616.0,France,36.0,2011,2,15,1,14
544115,POST,POSTAGE,5,2011-02-16 11:45:00,18.0,12727.0,France,90.0,2011,2,16,2,11
544157,POST,POSTAGE,2,2011-02-16 12:46:00,18.0,12372.0,Denmark,36.0,2011,2,16,2,12
544193,POST,POSTAGE,5,2011-02-17 08:23:00,15.0,12431.0,Belgium,75.0,2011,2,17,3,8
544200,POST,POSTAGE,2,2011-02-17 10:08:00,18.0,12494.0,France,36.0,2011,2,17,3,10
544203,POST,POSTAGE,3,2011-02-17 10:30:00,15.0,12362.0,Belgium,45.0,2011,2,17,3,10
544210,C2,CARRIAGE,1,2011-02-17 11:01:00,50.0,14911.0,EIRE,50.0,2011,2,17,3,11
544281,POST,POSTAGE,1,2011-02-17 12:23:00,18.0,12500.0,Germany,18.0,2011,2,17,3,12
544302,POST,POSTAGE,1,2011-02-17 13:16:00,18.0,12654.0,Germany,18.0,2011,2,17,3,13
544331,POST,POSTAGE,1,2011-02-17 17:05:00,15.0,12455.0,Cyprus,15.0,2011,2,17,3,17
544355,POST,POSTAGE,5,2011-02-18 10:53:00,18.0,12714.0,France,90.0,2011,2,18,4,10
544390,C2,CARRIAGE,1,2011-02-18 11:36:00,50.0,14911.0,EIRE,50.0,2011,2,18,4,11
544399,POST,POSTAGE,1,2011-02-18 12:28:00,28.0,12594.0,Italy,28.0,2011,2,18,4,12
544407,M,Manual,1,2011-02-18 13:26:00,15.0,14606.0,United Kingdom,15.0,2011,2,18,4,13
544474,POST,POSTAGE,1,2011-02-21 09:52:00,15.0,12423.0,Belgium,15.0,2011,2,21,0,9
544483,POST,POSTAGE,5,2011-02-21 10:53:00,18.0,12524.0,Germany,90.0,2011,2,21,0,10
544495,POST,POSTAGE,6,2011-02-21 11:42:00,28.0,12766.0,Portugal,168.0,2011,2,21,0,11
544573,POST,POSTAGE,5,2011-02-21 13:40:00,18.0,12621.0,Germany,90.0,2011,2,21,0,13
544585,POST,POSTAGE,1,2011-02-21 14:58:00,18.0,12523.0,France,18.0,2011,2,21,0,14
544811,POST,POSTAGE,3,2011-02-23 15:53:00,18.0,12471.0,Germany,54.0,2011,2,23,2,15
544817,POST,POSTAGE,2,2011-02-23 16:44:00,18.0,12437.0,France,36.0,2011,2,23,2,16
544819,M,Manual,6,2011-02-23 17:15:00,5.0,12748.0,United Kingdom,30.0,2011,2,23,2,17
544886,POST,POSTAGE,1,2011-02-24 11:42:00,40.0,12582.0,Finland,40.0,2011,2,24,3,11
544933,POST,POSTAGE,6,2011-02-25 08:44:00,18.0,12633.0,Germany,108.0,2011,2,25,4,8
544934,C2,CARRIAGE,1,2011-02-25 09:01:00,50.0,13345.0,United Kingdom,50.0,2011,2,25,4,9
544996,POST,POSTAGE,2,2011-02-25 11:53:00,18.0,12474.0,Germany,36.0,2011,2,25,4,11
545017,POST,POSTAGE,1,2011-02-25 13:51:00,15.0,12361.0,Belgium,15.0,2011,2,25,4,13
545034,POST,POSTAGE,1,2011-02-25 16:42:00,40.0,13493.0,Switzerland,40.0,2011,2,25,4,16
545038,22183,CAKE STAND VICTORIAN FILIGREE MED,1,2011-02-27 10:13:00,3.0,13684.0,United Kingdom,3.0,2011,2,27,6,10
545051,POST,POSTAGE,1,2011-02-27 11:58:00,18.0,12599.0,France,18.0,2011,2,27,6,11
545084,POST,POSTAGE,2,2011-02-28 10:55:00,40.0,12458.0,Switzerland,80.0,2011,2,28,0,10
545086,POST,POSTAGE,1,2011-02-28 11:43:00,18.0,12678.0,France,18.0,2011,2,28,0,11
545105,POST,POSTAGE,6,2011-02-28 11:58:00,18.0,12598.0,France,108.0,2011,2,28,0,11
545140,POST,POSTAGE,2,2011-02-28 12:08:00,15.0,12464.0,Belgium,30.0,2011,2,28,0,12
545180,POST,POSTAGE,1,2011-02-28 14:42:00,18.0,12728.0,France,18.0,2011,2,28,0,14
545181,POST,POSTAGE,1,2011-02-28 14:45:00,18.0,12509.0,France,18.0,2011,2,28,0,14
545191,POST,POSTAGE,1,2011-02-28 15:39:00,28.0,12811.0,Portugal,28.0,2011,2,28,0,15
545235,POST,POSTAGE,2,2011-03-01 10:31:00,18.0,12683.0,France,36.0,2011,3,1,1,10
545301,POST,POSTAGE,4,2011-03-01 12:26:00,18.0,12679.0,France,72.0,2011,3,1,1,12
545314,POST,POSTAGE,4,2011-03-01 14:11:00,15.0,12866.0,Belgium,60.0,2011,3,1,1,14
545323,POST,POSTAGE,1,2011-03-01 14:57:00,40.0,12352.0,Norway,40.0,2011,3,1,1,14
545515,POST,POSTAGE,3,2011-03-03 12:06:00,18.0,12727.0,France,54.0,2011,3,3,3,12
545517,POST,POSTAGE,1,2011-03-03 12:20:00,18.0,12727.0,France,18.0,2011,3,3,3,12
545533,POST,POSTAGE,2,2011-03-03 14:04:00,18.0,12524.0,Germany,36.0,2011,3,3,3,14
545536,POST,POSTAGE,3,2011-03-03 14:12:00,15.0,12417.0,Belgium,45.0,2011,3,3,3,14
545557,POST,POSTAGE,1,2011-03-03 15:30:00,18.0,12500.0,Germany,18.0,2011,3,3,3,15
545570,POST,POSTAGE,1,2011-03-03 16:28:00,40.0,12817.0,Austria,40.0,2011,3,3,3,16
545583,POST,POSTAGE,2,2011-03-04 09:08:00,18.0,12553.0,France,36.0,2011,3,4,4,9
545585,POST,POSTAGE,1,2011-03-04 09:32:00,28.0,12541.0,Spain,28.0,2011,3,4,4,9
545634,C2,CARRIAGE,1,2011-03-04 12:12:00,50.0,14911.0,EIRE,50.0,2011,3,4,4,12
545647,POST,POSTAGE,1,2011-03-04 12:46:00,28.0,12547.0,Spain,28.0,2011,3,4,4,12
545664,POST,POSTAGE,3,2011-03-04 15:15:00,28.0,12584.0,Italy,84.0,2011,3,4,4,15
545706,POST,POSTAGE,1,2011-03-07 09:10:00,18.0,12712.0,Germany,18.0,2011,3,7,0,9
545709,POST,POSTAGE,1,2011-03-07 09:49:00,18.0,12708.0,Germany,18.0,2011,3,7,0,9
545854,C2,CARRIAGE,1,2011-03-07 13:51:00,50.0,14817.0,United Kingdom,50.0,2011,3,7,0,13
545889,M,Manual,1,2011-03-07 16:14:00,45.0,15291.0,United Kingdom,45.0,2011,3,7,0,16
545916,POST,POSTAGE,2,2011-03-08 11:46:00,18.0,12528.0,Germany,36.0,2011,3,8,1,11
545933,C2,CARRIAGE,1,2011-03-08 12:04:00,50.0,13908.0,United Kingdom,50.0,2011,3,8,1,12
545988,POST,POSTAGE,1,2011-03-08 12:52:00,18.0,12662.0,Germany,18.0,2011,3,8,1,12
